column_number,row_letter,concentration,well,plate,mouse_id,name
10,10,1.186376645248915,10.010.0,MAA000154,30_2_M,10.010.0-MAA000154-30_2_M-1
10,11,1.0844551990539102,11.010.0,MAA000154,30_2_M,11.010.0-MAA000154-30_2_M-1
10,12,0.29788730859715445,12.010.0,MAA000154,30_2_M,12.010.0-MAA000154-30_2_M-1
10,13,0.28943708197944346,13.010.0,MAA000154,30_2_M,13.010.0-MAA000154-30_2_M-1
10,14,0.5619072886460769,14.010.0,MAA000154,30_2_M,14.010.0-MAA000154-30_2_M-1
10,15,0.2763242904344778,15.010.0,MAA000154,30_2_M,15.010.0-MAA000154-30_2_M-1
11,0,1.0442502877432225,0.011.0,MAA000154,30_2_M,0.011.0-MAA000154-30_2_M-1
11,1,1.1364151285803246,1.011.0,MAA000154,30_2_M,1.011.0-MAA000154-30_2_M-1
11,2,1.0903273296582685,2.011.0,MAA000154,30_2_M,2.011.0-MAA000154-30_2_M-1
11,3,0.31204950593707764,3.011.0,MAA000154,30_2_M,3.011.0-MAA000154-30_2_M-1
11,4,0.2741872317085277,4.011.0,MAA000154,30_2_M,4.011.0-MAA000154-30_2_M-1
11,5,2.7981647427946976,5.011.0,MAA000154,30_2_M,5.011.0-MAA000154-30_2_M-1
11,6,0.36319787904575135,6.011.0,MAA000154,30_2_M,6.011.0-MAA000154-30_2_M-1
11,7,0.9616460356918449,7.011.0,MAA000154,30_2_M,7.011.0-MAA000154-30_2_M-1
11,8,0.3085391359828744,8.011.0,MAA000154,30_2_M,8.011.0-MAA000154-30_2_M-1
11,9,0.2172444174905665,9.011.0,MAA000154,30_2_M,9.011.0-MAA000154-30_2_M-1
11,10,2.5742146138573396,10.011.0,MAA000154,30_2_M,10.011.0-MAA000154-30_2_M-1
11,11,0.538192869081437,11.011.0,MAA000154,30_2_M,11.011.0-MAA000154-30_2_M-1
11,12,0.39547607141320573,12.011.0,MAA000154,30_2_M,12.011.0-MAA000154-30_2_M-1
11,13,2.4179714774857652,13.011.0,MAA000154,30_2_M,13.011.0-MAA000154-30_2_M-1
11,14,-0.4227688142414558,14.011.0,MAA000154,30_2_M,14.011.0-MAA000154-30_2_M-1
11,15,1.6276219014535585,15.011.0,MAA000154,30_2_M,15.011.0-MAA000154-30_2_M-1
12,0,-0.035818953307357855,0.012.0,MAA000154,30_2_M,0.012.0-MAA000154-30_2_M-1
12,1,0.3852856001059068,1.012.0,MAA000154,30_2_M,1.012.0-MAA000154-30_2_M-1
12,2,2.5413352243203366,2.012.0,MAA000154,30_2_M,2.012.0-MAA000154-30_2_M-1
12,3,2.000946220175223,3.012.0,MAA000154,30_2_M,3.012.0-MAA000154-30_2_M-1
12,4,0.6702805486009692,4.012.0,MAA000154,30_2_M,4.012.0-MAA000154-30_2_M-1
12,5,0.6330947705910366,5.012.0,MAA000154,30_2_M,5.012.0-MAA000154-30_2_M-1
12,6,1.0456690174455172,6.012.0,MAA000154,30_2_M,6.012.0-MAA000154-30_2_M-1
12,7,3.2402729500061285,7.012.0,MAA000154,30_2_M,7.012.0-MAA000154-30_2_M-1
12,8,3.6520452022268772,8.012.0,MAA000154,30_2_M,8.012.0-MAA000154-30_2_M-1
12,9,1.4363240696829962,9.012.0,MAA000154,30_2_M,9.012.0-MAA000154-30_2_M-1
12,10,0.9073410786372907,10.012.0,MAA000154,30_2_M,10.012.0-MAA000154-30_2_M-1
12,11,0.9089522392427609,11.012.0,MAA000154,30_2_M,11.012.0-MAA000154-30_2_M-1
12,12,0.23172334892577875,12.012.0,MAA000154,30_2_M,12.012.0-MAA000154-30_2_M-1
12,13,3.012129978780944,13.012.0,MAA000154,30_2_M,13.012.0-MAA000154-30_2_M-1
12,14,1.3583536972068468,14.012.0,MAA000154,30_2_M,14.012.0-MAA000154-30_2_M-1
12,15,1.4377953891973387,15.012.0,MAA000154,30_2_M,15.012.0-MAA000154-30_2_M-1
13,0,0.39449359810630924,0.013.0,MAA000154,30_2_M,0.013.0-MAA000154-30_2_M-1
13,1,0.3851816157048119,1.013.0,MAA000154,30_2_M,1.013.0-MAA000154-30_2_M-1
13,2,0.3357961965227469,2.013.0,MAA000154,30_2_M,2.013.0-MAA000154-30_2_M-1
13,3,2.097858486772657,3.013.0,MAA000154,30_2_M,3.013.0-MAA000154-30_2_M-1
13,4,1.0006557240014418,4.013.0,MAA000154,30_2_M,4.013.0-MAA000154-30_2_M-1
13,5,2.282630400957264,5.013.0,MAA000154,30_2_M,5.013.0-MAA000154-30_2_M-1
